"PUBLICATION","SCENARIO","CATEGORY","PRODUCT","FLOW","UNIT","REGION","YEAR","VALUE"
"World Energy Outlook 2025","Current Policies Scenario","Energy","Renewables","Power sector inputs","EJ","World",2050,155.726
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Renewables","Power sector inputs","EJ","World",2035,103.208
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Renewables","Power sector inputs","EJ","World",2040,129.619
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Renewables","Power sector inputs","EJ","World",2050,173.94
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Renewables","Power sector inputs","EJ","World",2035,162.05
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Renewables","Power sector inputs","EJ","World",2040,226.578
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Renewables","Power sector inputs","EJ","World",2050,313.846
"World Energy Outlook 2025","Historical","Energy","Solar PV","Power sector inputs","EJ","World",2010,0.115
"World Energy Outlook 2025","Historical","Energy","Solar PV","Power sector inputs","EJ","World",2023,5.777
"World Energy Outlook 2025","Historical","Energy","Solar PV","Power sector inputs","EJ","World",2024,7.461
"World Energy Outlook 2025","Current Policies Scenario","Energy","Solar PV","Power sector inputs","EJ","World",2035,32.646
"World Energy Outlook 2025","Current Policies Scenario","Energy","Solar PV","Power sector inputs","EJ","World",2040,43.32
"World Energy Outlook 2025","Current Policies Scenario","Energy","Solar PV","Power sector inputs","EJ","World",2050,61.253
